id,ReportType,CurrentStatus,Description,DateCreate_Converted,DateClosed_Converted,location,YEAR
"615,348",Broken / Vandalized signs,Referred To Dept,Speed limit sign (Speed Limit 25) found laying on the ground partially still attach to the ground. Sign is still attached to the pole.,12/4/18 1:05,,"(21.3347395, -158.0278277)",2018
"612,647",Broken / Vandalized signs,Referred To Dept,At least three signs in error. No lane ends or requires a merge. One sign East and one sign west of this location. Kapolei Parkway.,11/27/18 13:08,,"(21.329012039, -158.074569109)",2018
"612,123",Broken / Vandalized signs,Referred To Dept,Sign was hit by a car on Kokohead drive between Claudine and where it turns into Paula drive,11/26/18 16:10,,"(21.286115271, -157.789863222)",2018
"610,721",Broken / Vandalized signs,Referred To Dept,The school zone sign next to the Waikiki fire station is crooked/leaning over the sidewalk. Tonight I walked into the sign hurting my shoulder.,11/21/18 22:35,,"(21.273192394, -157.816030559)",2018
"609,290",Broken / Vandalized signs,Referred To Dept,Mayors office complaint RISR 2018-3285. Dead end sign at corner of mauna place and Mott smith drive base needs to be reinforced or replaced. Sign was leaning forward and on ground upon arrival. Sign pushed back up and temporarily reinforced with lava,11/18/18 0:14,,"(21.312309993, -157.835470649)",2018
"609,051",Broken / Vandalized signs,Referred To Dept,"no parking sign knocked down on corner of 91-1026 Uouoa St, Ewa Beach, HI 96706",11/16/18 11:59,,"(21.368868727, -158.021496442)",2018
"607,549",Broken / Vandalized signs,Referred To Dept,Street sign at maluniu and Uluniu missing,11/13/18 6:53,,"(21.396916412, -157.73889133)",2018
"607,348",Broken / Vandalized signs,Referred To Dept,No Parking sign broken off at sidewalk,11/12/18 17:49,,"(21.299844479, -157.860221233)",2018
"606,541",Broken / Vandalized signs,Referred To Dept,Vandalized,11/9/18 10:15,,"(21.40469813, -157.950424367)",2018
"606,224",Broken / Vandalized signs,Referred To Dept,Westloch shoreline park was changed to Kapapapuhi Point Park by City Council resolution 17- 230. The sign has not been changed. please replace sign with a sign indicating the offical name,11/8/18 16:08,,"(21.36986595, -158.023576754)",2018
"605,689",Broken / Vandalized signs,Referred To Dept,Yield to pedestrians panel has been run over by a car. People drive too fast and there are lots of children walking to the school and park. Please protect our keiki-too many pedestrian injuries/deaths this year!,11/7/18 17:41,,"(21.317700199, -157.808456566)",2018
"605,140",Broken / Vandalized signs,Referred To Dept,Warning sign for the Auwaiolimu and Honokui intersection is missing the top portion,,,,1899
"605,037",Broken / Vandalized signs,Referred To Dept,Sign missing at Queen Emma & Kukui,11/6/18 8:31,,"(21.310648689, -157.857146777)",2018
"604,788",Broken / Vandalized signs,Referred To Dept,No parking sign faded,11/5/18 16:53,,"(21.321701556, -157.846152075)",2018
"604,124",Broken / Vandalized signs,Referred To Dept,No parking sign is faded and police officer commented unenforceable as is,11/4/18 9:44,,"(21.481402228, -157.998074428)",2018
"602,482",Broken / Vandalized signs,Closed,A fallen street sign is blocking my car port.,10/30/18 11:31,10/30/18 11:51,"(21.280979699, -157.803223787)",2018
"601,207",Broken / Vandalized signs,Referred To Dept,Another vehicle ran over the yield to pedestrians paddle sign. It needs to be fixed and the other needs to be replaced. It really does help and is important since it is a school crossing. People drive TOO fast. Consider other measures such as channelized,10/26/18 15:10,,"(21.317676753, -157.808475974)",2018
"601,112",Broken / Vandalized signs,Referred To Dept,The sign placement was 300o Northwest on Ft. Weaver/keaunui Dr. The sign was stored at Gentry Builder 91-1795 Keaunui Dr.,10/26/18 10:13,,"(21.330426463, -158.021420088)",2018
"599,188",Broken / Vandalized signs,Referred To Dept,Pakela Street/Alelo Street sign fell down,10/22/18 10:04,,"(21.404553802, -158.011064993)",2018
"598,684",Broken / Vandalized signs,Referred To Dept,Stop is upside down and hazardous coz itis loose and hanging and might fall on some residents head,10/21/18 13:51,,"(21.395714276, -157.997297118)",2018
"597,142",Broken / Vandalized signs,Referred To Dept,"Faded unreadable parking regulations sign. Across from 1404 Kalaepohaku Street, and in front of 1443 Kalaepohaku, and 1471 Kalaepohaku",10/16/18 16:19,,"(21.292968808, -157.807941077)",2018
"596,587",Broken / Vandalized signs,Referred To Dept,Missing no parking here to crosswalk sign,10/15/18 11:39,,"(21.394920299, -157.719416714)",2018
"596,060",Broken / Vandalized signs,Referred To Dept,broken street sign,10/14/18 17:27,,"(21.303010459, -157.799946644)",2018
"596,056",Broken / Vandalized signs,Referred To Dept,"broken and dangling street crossing button. light will not actuate without button press, please fix before i become stranded here",10/14/18 16:46,,"(21.290668921, -157.837352157)",2018
"595,949",Broken / Vandalized signs,Closed,dangling street crossing button,10/14/18 8:20,10/15/18 8:08,"(21.290695217, -157.837434181)",2018
"595,944",Broken / Vandalized signs,Closed,dangling crossing button,10/14/18 8:07,10/15/18 8:08,"(21.290715141, -157.837339022)",2018
"595,943",Broken / Vandalized signs,Closed,dangling crossing button,10/14/18 8:04,10/15/18 8:09,"(21.290715141, -157.837339022)",2018
"595,096",Broken / Vandalized signs,Referred To Dept,No parking sign broken by garage entrance to Salt at Our Kakaako,10/11/18 9:39,,"(21.298597943, -157.861777889)",2018
"592,788",Broken / Vandalized signs,Referred To Dept,There is a parking sign laying on the sidewalk right in front of a telephone pole. The telephone pole is right in front of the Honolulu Academy of Arts.No need to follow up with this report.,10/6/18 8:25,,"(21.303693837, -157.848949151)",2018
"591,888",Broken / Vandalized signs,Referred To Dept,No parking signs between 2700 and 3300 tantalus require replacement. Need to enforce parking/camping at night. Difficult to cite without proper signage. Mahalo!,10/4/18 5:49,,"(21.317068644, -157.830642402)",2018
"591,050",Broken / Vandalized signs,Closed,Kailua bound sign before entrance to Uluhala st is bent to 30 degrees from ground. The map dot is a little off because I didnot know how to move it.,10/2/18 12:17,10/2/18 12:50,"(21.379965061, -157.757114801)",2018
"590,487",Broken / Vandalized signs,Closed,3 minute passenger pickup end sign fell down.,10/1/18 22:27,10/2/18 7:38,"(21.303767721, -157.84893855)",2018
"589,664",Broken / Vandalized signs,Referred To Dept,3 minute parking begin sign fell down.,9/29/18 20:06,,"(21.304475719, -157.84772499)",2018
"588,596",Broken / Vandalized signs,Closed,"Driving on Kam hwy ewa bound, right before the stadium, the overhead sign is damaged and missing. Needs to be replaced.",9/26/18 22:29,9/27/18 9:09,"(21.371967599, -157.933627278)",2018
"588,594",Broken / Vandalized signs,Referred To Dept,"Street sign (no parking sign) broken and laying next to sidewalk. On Mauka side of moanalua rd, ewa side of the Lele PONO building parking entrance.",9/26/18 22:24,,"(21.386982107, -157.943227533)",2018
"585,270",Broken / Vandalized signs,Referred To Dept,1500 Wilhelmina rise block,,,,1899
"585,169",Broken / Vandalized signs,Referred To Dept,Missing second street sign,9/19/18 11:19,,"(21.329897817, -158.057066542)",2018
"584,653",Broken / Vandalized signs,Referred To Dept,Speed limit sign loose and upside down,9/18/18 15:31,,"(21.3471061, -157.9180946)",2018
"584,637",Broken / Vandalized signs,Referred To Dept,"street sign faded ,cant read at end of Muonia st",9/18/18 14:38,,"(21.371106826, -158.023258623)",2018
"584,619",Broken / Vandalized signs,Referred To Dept,no parking sign bent broken on corner of pololia st,9/18/18 13:52,,"(21.367546625, -158.020534172)",2018
"583,273",Broken / Vandalized signs,Referred To Dept,People are hitting their head on this broken sign,9/16/18 20:25,,"(21.322695576, -157.858749023)",2018
"583,178",Broken / Vandalized signs,Referred To Dept,The no parking sign has fallen over. The broken sign is on the Diamond Head side of the street on Ward.,9/16/18 12:08,,"(21.306223954, -157.848465913)",2018
"583,021",Broken / Vandalized signs,Referred To Dept,"No parking sign was recently replaced by the tow away zone sign was not, located adjacent to Waikiki elementary school",9/15/18 17:48,,"(21.268847902, -157.815021844)",2018
"582,861",Broken / Vandalized signs,Referred To Dept,A sign has been knocked down,9/15/18 6:38,,"(21.306288832, -157.848380855)",2018
"582,790",Broken / Vandalized signs,Referred To Dept,"Faded no parking and tow away zone sign, resulting in dangerous road conditions. hPD will not enforce no parking due to faded sign",9/14/18 16:55,,"(21.293595364, -157.811269687)",2018
"580,874",Broken / Vandalized signs,Referred To Dept,Speed limit sign down,9/11/18 9:02,,"(21.4803388, -157.9984497)",2018
"580,872",Broken / Vandalized signs,Referred To Dept,Dead end sign lying on the ground,9/11/18 8:59,,"(21.4809753, -157.9985894)",2018
"578,078",Broken / Vandalized signs,Referred To Dept,Sign knocked down,9/5/18 7:36,,"(21.291999968, -157.79205796)",2018
"577,642",Broken / Vandalized signs,Referred To Dept,broken bolt and sign on sidewalk,9/4/18 12:15,,"(21.3205552, -157.8589113)",2018
"576,683",Broken / Vandalized signs,Referred To Dept,Someone drove over the nyield to pedestriansi sign. It has since been placed on the sidewalk. Please replace or repair because it does help with schoolkids and pedestrian awareness. Thank you!!,9/2/18 14:04,,"(21.317664575, -157.808449279)",2018
"576,238",Broken / Vandalized signs,Referred To Dept,street sign missing,8/31/18 13:00,,"(21.3089142, -157.7881306)",2018
"575,568",Broken / Vandalized signs,Referred To Dept,Laumilo Street and Kaulu St in Waimanlo the street light is not working. Located in front of 41-929 Laumilo Street. Has been out since Hurricane Lane visited.,8/30/18 7:33,,"(21.3380964, -157.6980064)",2018
"575,367",Broken / Vandalized signs,Closed,,8/29/18 17:51,,"(21.293707098, -157.811202847)",2018
"574,090",Broken / Vandalized signs,Referred To Dept,Cannot read no left turn sign,8/27/18 12:39,,"(21.299110575, -157.826681331)",2018
"573,328",Broken / Vandalized signs,Referred To Dept,Illegible sign at 41 S Beretania. Think itps a no parking sign.,8/26/18 10:18,,"(21.311405686, -157.859631982)",2018
"573,121",Broken / Vandalized signs,Referred To Dept,located at 529 Koula Street. Never wired back up after pole was replaced and street light reinstalled,8/25/18 10:08,,"(21.29814, -157.8575798)",2018
"572,807",Broken / Vandalized signs,Referred To Dept,Fallen stop sign,8/24/18 9:22,,"(21.307406375, -157.845308057)",2018
"570,143",Broken / Vandalized signs,Closed,Faded /damaged traffic signal sign on wyllie/Nuuanu street off ramp TOWNBOUND Pali hwy.,8/20/18 9:49,8/20/18 10:31,"(21.328265748, -157.845752222)",2018
"569,345",Broken / Vandalized signs,Referred To Dept,Broken reflective signs,8/18/18 10:14,,"(21.307792079, -157.842129419)",2018
"569,341",Broken / Vandalized signs,Referred To Dept,School crossing ahead sign - yelloe,8/18/18 9:57,,"(21.309676119, -157.840948975)",2018
"569,239",Broken / Vandalized signs,Referred To Dept,Several weeks ago a car ran over the street sign at the Queen Emma and Kukui st intersection and just today yet another street sign was ran over.,8/17/18 21:16,,"(21.310701785, -157.857163551)",2018
"568,700",Broken / Vandalized signs,Referred To Dept,Fade stop sign on Kaumailuna at Alewa.,8/16/18 17:13,,"(21.33324141, -157.853438232)",2018
"568,121",Broken / Vandalized signs,Referred To Dept,Bump sign about to fall off across 1216 Pua Lane,8/15/18 18:11,,"(21.321464957, -157.864139506)",2018
"568,087",Broken / Vandalized signs,Referred To Dept,Pua Ln & King St sign hard to read.,8/15/18 16:35,,"(21.320337775, -157.866016668)",2018
"568,082",Broken / Vandalized signs,Referred To Dept,Yellow crosswalk sign with silhouette of person walking is missing from post just prior to the intersections Iliahi street and Nuuanu Ave mauka bound.,,,,1899
"567,459",Broken / Vandalized signs,Referred To Dept,Faded no parking sign at 221 Kaimuohema Pl,8/14/18 18:26,,"(21.331077737, -157.839104127)",2018
"567,458",Broken / Vandalized signs,Referred To Dept,Difficult to read street sign at Henry St & Kaimuohema Pl,8/14/18 18:10,,"(21.331601202, -157.839300317)",2018
"567,455",Broken / Vandalized signs,Referred To Dept,Street signs hard to read,8/14/18 18:03,,"(21.33186843, -157.838626538)",2018
"566,081",Broken / Vandalized signs,Referred To Dept,"thanks for repairing this sign post earlier this year however, it looks like someone drove into it and damaged it",8/12/18 21:59,,"(21.335058088, -157.878491577)",2018
"565,820",Broken / Vandalized signs,Referred To Dept,Very faded no parking sign at 1868 Puowaina,8/11/18 12:29,,"(21.316708622, -157.848077734)",2018
"565,819",Broken / Vandalized signs,Referred To Dept,Faded street sign at Whiting & Puwaina,8/11/18 12:27,,"(21.316785214, -157.847629053)",2018
"565,781",Broken / Vandalized signs,Referred To Dept,Sign at N Kukui & Queen Emma is gone.,8/11/18 10:00,,"(21.310629586, -157.857126173)",2018
"565,631",Broken / Vandalized signs,Referred To Dept,Stop sign is upside down and very old looking,8/10/18 13:06,,"(21.3956635, -157.9973784)",2018
"565,143",Broken / Vandalized signs,Referred To Dept,No Parking /Tow Away Sign post broken (run over?). Confirmed this a State Roadway.,8/10/18 0:08,,"(21.394349606, -157.982511426)",2018
"564,584",Broken / Vandalized signs,Referred To Dept,Signs faded & pole bent @ corner of Kanealii & Koalele,8/8/18 17:40,,"(21.321356929, -157.841895044)",2018
"564,572",Broken / Vandalized signs,Referred To Dept,"Hey guy's. I'm not sure, but were the trash bins chained up to the bathrooms? I have a better idea. Have the trash cans bolted to the bar fence! One that on rust, or that can be vandalized, and can not be removed! Unlike these! By the way, I found on th",8/8/18 17:03,,"(21.319286511, -157.852521701)",2018
"563,584",Broken / Vandalized signs,Referred To Dept,speed limit sign rusted and fell over,8/7/18 7:01,,"(21.3526347, -157.8857844)",2018
"560,982",Broken / Vandalized signs,Referred To Dept,Missing street sign at corner of Namahealani Place and Mokuhano St.,8/1/18 18:21,,"(21.298071315, -157.672722681)",2018
"560,964",Broken / Vandalized signs,Referred To Dept,Broken stop sign and street sign at St. Louis Heights Drive / Kaminaka intersection,8/1/18 17:01,,"(21.291944808, -157.809703639)",2018
"559,122",Broken / Vandalized signs,Referred To Dept,"Very faded one way sign. Might be state, DH corner of School & Aala.",7/29/18 19:03,,"(21.318914216, -157.857737158)",2018
"558,605",Broken / Vandalized signs,Referred To Dept,No parking sign very faded.,7/27/18 14:10,,"(21.305662461, -157.857129004)",2018
"555,648",Broken / Vandalized signs,Referred To Dept,The mends bathroom door & toilet is broken,7/22/18 15:45,,"(21.453700608, -158.007636653)",2018
"555,555",Broken / Vandalized signs,Referred To Dept,sign located outside entrance of parking lot on south beretania street.,7/22/18 11:43,,"(21.3041923, -157.8547896)",2018
"555,136",Broken / Vandalized signs,Referred To Dept,Garbage truck back into the sign and bent it.,7/20/18 21:47,,"(21.3400504, -158.0699073)",2018
"555,018",Broken / Vandalized signs,Referred To Dept,dead end sign knocked over. Also missing no parking sign this side sign.,7/20/18 11:57,,"(21.36940796, -158.021918332)",2018
"554,974",Broken / Vandalized signs,Referred To Dept,"Many street signs on this stretch near Kapolei Hale are faded, some are completely disappeared.",7/20/18 10:18,,"(21.330843082, -158.079687385)",2018
"552,586",Broken / Vandalized signs,Referred To Dept,Broken & vandalized Stop sign,7/16/18 13:07,,"(21.677840623, -158.037911841)",2018
"550,120",Broken / Vandalized signs,Referred To Dept,Very faded sign,7/11/18 17:08,,"(21.324092468, -157.868498462)",2018
"550,119",Broken / Vandalized signs,Referred To Dept,Pedestrian crossing sign missing,7/11/18 17:07,,"(21.324149288, -157.8684823)",2018
"549,438",Broken / Vandalized signs,Referred To Dept,Sign post was moved. Previous post sticking up as a trip hazard,7/10/18 20:41,,"(21.310046843, -157.837815524)",2018
"549,433",Broken / Vandalized signs,Referred To Dept,Broken sign,7/10/18 20:15,,"(21.461747182, -158.210202712)",2018
"549,431",Broken / Vandalized signs,Referred To Dept,No streets sign,7/10/18 20:13,,"(21.461778215, -158.210112926)",2018
"547,821",Broken / Vandalized signs,Referred To Dept,Faded no parking sign,7/8/18 16:17,,"(21.316539266, -157.860744824)",2018
"547,552",Broken / Vandalized signs,Closed,Downed sign,7/7/18 16:41,7/9/18 14:57,"(21.329878434, -157.869308324)",2018
"547,408",Broken / Vandalized signs,Referred To Dept,No parking here to corner sign is faded and unable to be read. Police no longer ticketing vehicles.,7/7/18 7:23,,"(21.275341615, -157.818734029)",2018
"546,661",Broken / Vandalized signs,Referred To Dept,cross street missing/stolen. please fix/replace.,7/5/18 15:05,,"(21.33905451, -158.039556723)",2018
"546,660",Broken / Vandalized signs,Referred To Dept,sign knocked over. please fix/replace.,7/5/18 15:02,,"(21.339915056, -158.040574118)",2018
"546,658",Broken / Vandalized signs,Referred To Dept,cross street missing/stolen. please replace.,7/5/18 14:54,,"(21.337950811, -158.040734935)",2018
"542,239",Broken / Vandalized signs,Referred To Dept,Stop sign toppled over,6/26/18 19:46,,"(21.310046147, -157.850271045)",2018
"540,845",Broken / Vandalized signs,Closed,letters on street sign is coming off,6/24/18 13:08,6/25/18 9:00,"(21.284625954, -157.83734636)",2018
"540,840",Broken / Vandalized signs,Referred To Dept,Yellow street sign bent over to the ground,6/24/18 12:50,,"(21.309735606, -157.840766783)",2018
"540,635",Broken / Vandalized signs,Referred To Dept,Political campaign signs partially blocking a stop sign on the corner of Pele St. and Vineyard Blvd.,6/23/18 15:07,,"(21.3100492, -157.8538545)",2018
"539,895",Broken / Vandalized signs,Referred To Dept,cross street sign broken off. please replace. crosswalk sign is also leaning precariously.,6/21/18 15:55,,"(21.337896497, -158.038580786)",2018
"538,674",Broken / Vandalized signs,Referred To Dept,Broken no parking signs left after by property after a event and it3s just stacked by a unoccupied space business for a week ....who picks up the signs,6/19/18 12:55,,"(21.312451446, -157.862622108)",2018
"534,051",Broken / Vandalized signs,Referred To Dept,Sign has faded. No parking here to corner.,6/10/18 12:40,,"(21.283781087, -157.796613896)",2018
"533,491",Broken / Vandalized signs,Referred To Dept,New sign down at Kailua Boat Ramp,6/8/18 10:43,,"(21.395538039, -157.722248114)",2018
"533,444",Broken / Vandalized signs,Referred To Dept,The no parking sign post was bent and leaning toward the sidewalk.,6/8/18 9:51,,"(21.330374462, -158.009600295)",2018
"530,583",Broken / Vandalized signs,Referred To Dept,Street name sign is missing for both Leahi Ave & Hinano Street. And Stop sign is faded and cracking.,6/3/18 14:18,,"(21.27090428, -157.815285865)",2018
"529,518",Broken / Vandalized signs,Referred To Dept,The rNo Parkingt sign fronting 94-1057 was purposefully knocked over by its residence kids and relocated in the wrong place to make space to park another vehicle.,5/31/18 22:17,,"(21.399440342, -158.02585402)",2018
"529,163",Broken / Vandalized signs,Referred To Dept,Street sign. Alapio road was hit by car and then stolen.,5/31/18 7:56,,"(21.645005762, -158.040770721)",2018
"528,230",Broken / Vandalized signs,Closed,"the speed limit sign is falling off its pole. with the wind conditions lately, it creates a dangerous situation",5/29/18 17:38,5/30/18 8:20,"(21.335433623, -157.878097)",2018
"526,160",Broken / Vandalized signs,Referred To Dept,"Green PALEKA ROAD sign that sits atop the stop sign is illegible, letters have faded away. Located at cross streets Paleka Road and Anoi Rd.",5/24/18 20:08,,"(21.410633105, -157.805298414)",2018
"525,991",Broken / Vandalized signs,Referred To Dept,See photo,5/24/18 13:04,,"(21.308096818, -157.804782026)",2018
"525,905",Broken / Vandalized signs,Referred To Dept,"Sorry guys for being a pain. However, I thought it would look nicer if the signs, like the one way sign at this corner, could look a little less ghetto if maybe they were clened or replaced. Could you please take a look at them? Thank you so much!",5/24/18 11:41,,"(21.280211963, -157.826950322)",2018
"524,496",Broken / Vandalized signs,Referred To Dept,These signs are barely legible due to stickers and tags. Sorry if this was a repeat. It did not appear that the first one recorded.,5/22/18 14:08,,"(21.28228638, -157.799163287)",2018
"524,494",Broken / Vandalized signs,Referred To Dept,These two signs have multiple tags and stickers. Signs are barely legible,5/22/18 14:05,,"(21.28232623, -157.798909921)",2018
"523,680",Broken / Vandalized signs,Referred To Dept,RNo Parking sign has been dug up and hauled away. Spoke to Jay Hara of DOTS and he said that it was probably vandalized as there was no scheduled work order to remove the sign.,5/21/18 17:27,,"(21.445191869, -158.010371532)",2018
"523,616",Broken / Vandalized signs,Referred To Dept,"School sign is faded and illegible - also, please locate signpost further towards property line within unimproved sidewalk area so kids can ride safer away from the road and cars can not park there reducing area of unimproved sidewalk area.",5/21/18 14:56,,"(21.3936889, -157.723982)",2018
"520,394",Broken / Vandalized signs,Referred To Dept,sign broken,5/15/18 12:29,,"(21.395981779, -157.72720459)",2018
"519,098",Broken / Vandalized signs,Closed,Broken Hyde/hunnewell street sign across 4146 Kaimuki ave,5/13/18 16:51,5/14/18 8:04,"(21.272578355, -157.791079923)",2018
"519,097",Broken / Vandalized signs,Referred To Dept,Broken Hyde/hunnewell street sign across 4146 Kaimuki ave,5/13/18 16:51,,"(21.272578355, -157.791079923)",2018
"518,015",Broken / Vandalized signs,Referred To Dept,Very faded TAZ sign,5/10/18 10:03,,"(21.311226397, -157.857296143)",2018
"516,204",Broken / Vandalized signs,Referred To Dept,Rusted No Outlet sign post fell down. The sign post was stored at Gentry Builder compound at 91-1795 Keaunui Dr. Ewa Beach.,5/7/18 10:46,,"(21.330588456, -158.02495879)",2018
"513,062",Broken / Vandalized signs,Referred To Dept,cross street signed knocked down and laying on side of the road. needs to be repaired/replaced.,4/30/18 10:45,,"(21.340440408, -158.041976072)",2018
"511,371",Broken / Vandalized signs,Referred To Dept,speed limit sign have been down on street for past few days,4/25/18 19:38,,"(21.335087253, -157.878436319)",2018
"509,188",Broken / Vandalized signs,Closed,Sign spelling wrong for PED crossing. Sign says: STOP HEPE FOR PEDESTRIANS. Isnbt it supposed to read : STOP HERE FOR PEDESTRIANS?,4/21/18 7:46,4/23/18 9:29,"(21.314130912, -157.867367056)",2018
"509,085",Broken / Vandalized signs,Referred To Dept,There is a broken concert next to the rail .,4/20/18 16:25,,"(21.453542345, -158.007662434)",2018
"508,401",Broken / Vandalized signs,Referred To Dept,No parking signs,4/19/18 8:05,,"(21.279587739, -157.798080835)",2018
"507,602",Broken / Vandalized signs,Referred To Dept,There is vandalize one box & the strubs needs to be cut also,4/17/18 18:57,,"(21.46864354, -158.003119311)",2018
"505,998",Broken / Vandalized signs,Referred To Dept,"Pole rusted through, on ground.",4/13/18 15:33,,"(21.308180246, -157.804857017)",2018
"505,589",Broken / Vandalized signs,Referred To Dept,"Street name sign for Leihaku Street is missing. I reported this over a year ago, and it has not been replaced yet.",4/12/18 17:09,,"(21.396779732, -158.013215)",2018
"505,439",Broken / Vandalized signs,Referred To Dept,Someone ran over the stop sign/street sign and broke/flattened it. It is currently propped up in the storm drain on the corner of Holua Way and Kuapohaku Dr.,4/12/18 10:05,,"(21.356315307, -157.857775449)",2018
"505,017",Broken / Vandalized signs,Closed,No parking sign falling down.,4/11/18 10:33,4/11/18 12:01,"(21.391880554, -157.718403296)",2018
"504,954",Broken / Vandalized signs,Closed,No parking sign falling down,4/11/18 8:57,4/11/18 12:07,"(21.391879873, -157.718407129)",2018
"504,941",Broken / Vandalized signs,Closed,No parking sign falling fown,4/11/18 8:35,4/11/18 12:01,"(21.391887307, -157.718360254)",2018
"504,939",Broken / Vandalized signs,Closed,No parking sign falling fown,4/11/18 8:35,4/11/18 12:01,"(21.391887307, -157.718360254)",2018
"504,938",Broken / Vandalized signs,Referred To Dept,No parking sign falling fown,4/11/18 8:34,,"(21.391887307, -157.718360254)",2018
"503,901",Broken / Vandalized signs,Closed,No U Turn sign is falling off the pole ites attached to at the corner of Makakilo Drive / Fort Barrette Road and Farrington Highway.,4/9/18 9:17,4/9/18 15:01,"(21.340116841, -158.07600966)",2018
"503,560",Broken / Vandalized signs,Closed,Both signs in turn around need repair,4/8/18 16:35,4/9/18 9:10,"(21.3688739, -157.8942609)",2018
"503,559",Broken / Vandalized signs,Referred To Dept,Both signs in turn around need repair,4/8/18 16:35,,"(21.3688739, -157.8942609)",2018
"501,718",Broken / Vandalized signs,Closed,Sign completely gone,4/3/18 21:42,4/4/18 9:06,"(21.64518392, -158.040728629)",2018
"501,691",Broken / Vandalized signs,Closed,Sign was hit by car. Then stolen,4/3/18 16:36,,"(21.64527593, -158.040770995)",2018
"501,509",Broken / Vandalized signs,Closed,Graffiti on a utility box on Makakilo Drive directly across the street to the entrance for St Jude and the Easter Seals. Two sides of the box have been tagged. Please paint over.,4/3/18 9:23,4/3/18 16:20,"(21.343298066, -158.079067637)",2018
"501,491",Broken / Vandalized signs,Referred To Dept,No parking begins post and sign missing in front of 91-982 Awawalei Place,4/3/18 8:56,,"(21.331278944, -158.03158836)",2018
"500,572",Broken / Vandalized signs,Referred To Dept,Hard to read & twisted,4/1/18 17:24,,"(21.32041791, -157.840303711)",2018
"500,083",Broken / Vandalized signs,Referred To Dept,No parking sign down and lying on median along meheula parkway heading west,3/30/18 21:05,,"(21.475680319, -157.997572523)",2018
"500,052",Broken / Vandalized signs,Closed,Teenagers break into the pool facility and vandalize it constantly. Facility is for residents only and they do not belong there to begin with.,3/30/18 14:51,4/2/18 10:38,"(21.313492, -158.02375)",2018
"500,050",Broken / Vandalized signs,Closed,Teenagers break into the pool facility and vandalize it constantly. Facility is for residents only and they do not belong there to begin with.,3/30/18 14:51,4/2/18 10:39,"(21.313492, -158.02375)",2018
"500,049",Broken / Vandalized signs,Closed,Teenagers break into the pool facility and vandalize it constantly. Facility is for residents only and they do not belong there to begin with.,3/30/18 14:50,4/2/18 10:39,"(21.313492, -158.02375)",2018
"499,390",Broken / Vandalized signs,Referred To Dept,Crossing signal only displays t99t,3/29/18 8:14,,"(21.311776679, -157.859811523)",2018
"493,368",Broken / Vandalized signs,Referred To Dept,Monument and sign defaced,3/15/18 14:52,,"(21.394223808, -157.743290806)",2018
"492,883",Broken / Vandalized signs,Referred To Dept,broken stop sign.,,,,1899
"492,837",Broken / Vandalized signs,Referred To Dept,street signs missing,3/14/18 15:10,,"(21.397910663, -157.807332134)",2018
"492,618",Broken / Vandalized signs,Referred To Dept,Faded speed limit sign on blind curve,3/14/18 8:07,,"(21.4215755, -157.8131406)",2018
