coc_code,state_code,coc_name,coc_total_population_zillow_2017,pit_count_from_2017_zillow_2017,estimated_homeless_rate_percent_zillow_2017,zri_as_percent_of_median_income_zillow_2017,percent_of_coc_living_in_extreme_poverty_zillow_2017,coc_category,pit_overall_homeless_2017,pit_sheltered_es_homeless_2017,pit_sheltered_th_homeless_2017,pit_sheltered_sh_homeless_2017,pit_sheltered_total_homeless_2017,pit_unsheltered_homeless_2017,pit_homeless_individuals_2017,pit_sheltered_es_homeless_individuals_2017,pit_sheltered_th_homeless_individuals_2017,pit_sheltered_sh_homeless_individuals_2017,pit_sheltered_total_homeless_individuals_2017,pit_unsheltered_homeless_individuals_2017,pit_homeless_people_in_families_2017,pit_sheltered_es_homeless_people_in_families_2017,pit_sheltered_th_homeless_people_in_families_2017,pit_sheltered_total_homeless_people_in_families_2017,pit_unsheltered_homeless_people_in_families_2017,pit_homeless_family_households_2017,pit_sheltered_es_homeless_family_households_2017,pit_sheltered_th_homeless_family_households_2017,pit_sheltered_total_homeless_family_households_2017,pit_unsheltered_homeless_family_households_2017,pit_chronically_homeless_2017,pit_sheltered_es_chronically_homeless_2017,pit_sheltered_sh_chronically_homeless_2017,pit_sheltered_total_chronically_homeless_2017,pit_unsheltered_chronically_homeless_2017,pit_chronically_homeless_individuals_2017,pit_sheltered_es_chronically_homeless_individuals_2017,pit_sheltered_sh_chronically_homeless_individuals_2017,pit_sheltered_total_chronically_homeless_individuals_2017,pit_unsheltered_chronically_homeless_individuals_2017,pit_chronically_homeless_people_in_families_2017,pit_sheltered_es_chronically_homeless_people_in_families_2017,pit_sheltered_total_chronically_homeless_people_in_families_2017,pit_unsheltered_chronically_homeless_people_in_families_2017,pit_homeless_veterans_2017,pit_sheltered_es_homeless_veterans_2017,pit_sheltered_th_homeless_veterans_2017,pit_sheltered_sh_homeless_veterans_2017,pit_sheltered_total_homeless_veterans_2017,pit_unsheltered_homeless_veterans_2017,pit_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_25_2017,pit_unsheltered_homeless_unaccompanied_youth_under_25_2017,pit_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_18_2017,pit_unsheltered_homeless_unaccompanied_youth_under_18_2017,pit_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_es_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_th_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_total_homeless_unaccompanied_youth_age_18_24_2017,pit_unsheltered_homeless_unaccompanied_youth_age_18_24_2017,pit_homeless_parenting_youth_under_25_2017,pit_sheltered_es_homeless_parenting_youth_under_25_2017,pit_sheltered_th_homeless_parenting_youth_under_25_2017,pit_sheltered_total_homeless_parenting_youth_under_25_2017,pit_unsheltered_homeless_parenting_youth_under_25_2017,pit_homeless_parenting_youth_under_18_2017,pit_sheltered_es_homeless_parenting_youth_under_18_2017,pit_sheltered_th_homeless_parenting_youth_under_18_2017,pit_sheltered_total_homeless_parenting_youth_under_18_2017,pit_unsheltered_homeless_parenting_youth_under_18_2017,pit_homeless_parenting_youth_age_18_24_2017,pit_sheltered_es_homeless_parenting_youth_age_18_24_2017,pit_sheltered_th_homeless_parenting_youth_age_18_24_2017,pit_sheltered_total_homeless_parenting_youth_age_18_24_2017,pit_unsheltered_homeless_parenting_youth_age_18_24_2017,pit_homeless_children_of_parenting_youth_2017,pit_sheltered_es_homeless_children_of_parenting_youth_2017,pit_sheltered_th_homeless_children_of_parenting_youth_2017,pit_sheltered_total_homeless_children_of_parenting_youth_2017,pit_unsheltered_homeless_children_of_parenting_youth_2017,cluster_number_zillow_2017,cluster_location,cluster_description
ar-501,ar,fayetteville/northwest arkansas coc,524887,330,0.07,26.93749156,6.11862485,other urban cocs,330,127,108,0,235,95,235,81,59,0,140,95,95,46,49,95,0,33,15,18,33,0,66,29,0,29,37,59,22,0,22,37,7,7,7,0,46,12,17,0,29,17,12,2,6,0,8,4,0,0,0,0,0,0,12,2,6,0,8,4,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,4,3,1,4,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ar-503,ar,arkansas  balance of state  coc,859633,822,0.11,25.48055875,8.215102252,rural cocs,875,332,82,0,414,461,761,248,72,0,320,441,114,84,10,94,20,28,18,4,22,6,110,27,0,27,83,110,27,0,27,83,0,0,0,0,33,20,0,0,20,13,101,22,4,0,26,75,0,0,0,0,0,0,101,22,4,0,26,75,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,5,5,0,5,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ar-505,ar,southeast arkansas,304531,88,0.03,26.47724102,10.71308422,rural cocs,88,78,10,0,88,0,49,47,2,0,49,0,39,31,8,39,0,10,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,13,13,0,0,13,0,9,9,0,0,9,0,4,4,0,0,4,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,5,"Southeast Arkansas, Houma-Terrebonne/Thibodaux (Louisiana), Central Tennessee","low homeless rates, high poverty rates"
ar-512,ar,"boone, baxter, marion, newton counties coc",102593,53,0.07,29.73777493,6.473834442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
az-500,az,arizona balance of state coc,1643134,1768,0.15,28.43544061,9.060185074,rural cocs,1768,856,190,0,1046,722,1434,678,104,0,782,652,334,178,86,264,70,98,55,26,81,17,388,68,0,68,320,358,59,0,59,299,30,9,9,21,238,54,59,0,113,125,125,73,5,0,78,47,12,11,0,0,11,1,113,62,5,0,67,46,9,9,0,9,0,0,0,0,0,0,9,9,0,9,0,8,8,0,8,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
az-501,az,tucson/pima county coc,1008139,1574,0.2,26.64812061,8.44955281,major cities,1574,731,443,15,1189,385,1249,578,271,15,864,385,325,153,172,325,0,96,43,53,96,0,225,159,10,169,56,223,157,10,167,56,2,2,2,0,243,89,97,1,187,56,133,50,37,1,88,45,4,3,0,0,3,1,129,47,37,1,85,44,27,5,22,27,0,0,0,0,0,0,27,5,22,27,0,35,10,25,35,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
az-502,az,phoenix/mesa/maricopa county regional coc,4163953,5605,0.17,26.68774769,7.829982105,major cities,5605,2254,1271,21,3546,2059,3805,1285,471,21,1777,2028,1800,969,800,1769,31,495,259,228,487,8,939,302,7,309,630,882,259,7,266,616,57,43,43,14,489,125,216,0,341,148,320,128,51,0,179,141,39,31,0,0,31,8,281,97,51,0,148,133,45,23,22,45,0,0,0,0,0,0,45,23,22,45,0,69,37,32,69,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-500,ca,san jose/santa clara city & county coc,1901963,7394,0.53,41.6583082,4.506882987,major cities,7394,1140,806,0,1946,5448,6319,794,373,0,1167,5152,1075,346,433,779,296,294,97,126,223,71,2097,302,0,302,1795,2018,260,0,260,1758,79,42,42,37,660,72,136,0,208,452,2530,39,55,0,94,2436,509,9,0,0,9,500,2021,30,55,0,85,1936,34,6,20,26,8,0,0,0,0,0,34,6,20,26,8,37,6,22,28,9,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-501,ca,san francisco coc,859801,6858,1.03,60.47998716,5.469914169,major cities,6858,2056,434,15,2505,4353,6257,1696,213,15,1924,4333,601,360,221,581,20,190,115,69,184,6,2138,555,5,560,1578,2112,532,5,537,1575,26,23,23,3,684,162,151,15,328,356,1274,71,79,0,150,1124,104,10,0,0,10,94,1170,61,79,0,140,1030,41,19,15,34,7,0,0,0,0,0,41,19,15,34,7,40,20,15,35,5,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-502,ca,oakland/alameda county coc,1625451,5629,0.43,44.72442552,5.403456005,major cities,5629,1022,744,0,1766,3863,4918,636,445,0,1081,3837,711,386,299,685,26,270,151,110,261,9,1707,298,0,298,1409,1620,214,0,214,1406,87,84,84,3,531,48,105,0,153,378,991,81,172,0,253,738,72,9,1,0,10,62,919,72,171,0,243,676,74,9,60,69,5,0,0,0,0,0,74,9,60,69,5,95,14,74,88,7,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-503,ca,sacramento city & county coc,1492768,3665,0.3,30.87843149,7.760229751,major cities,3665,977,636,0,1613,2052,3076,647,394,0,1041,2035,589,330,242,572,17,186,100,80,180,6,1126,323,0,323,803,1091,288,0,288,803,35,35,35,0,469,64,78,0,142,327,205,31,56,0,87,118,3,3,0,0,3,0,202,28,56,0,84,118,29,8,21,29,0,0,0,0,0,0,29,8,21,29,0,40,12,28,40,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-504,ca,santa rosa/petaluma/sonoma county coc,500474,2835,0.8,45.76195635,4.800930098,suburban cocs,2835,655,333,0,988,1847,2509,477,192,0,669,1840,326,178,141,319,7,111,54,55,109,2,598,134,0,134,464,577,113,0,113,464,21,21,21,0,211,35,31,0,66,145,532,27,22,0,49,483,116,0,0,0,0,116,416,27,22,0,49,367,6,2,1,3,3,0,0,0,0,0,6,2,1,3,3,6,2,1,3,3,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-505,ca,richmond/contra costa county coc,1119782,1607,0.21,34.13996405,4.522207323,suburban cocs,1607,502,194,0,696,911,1352,366,146,0,512,840,255,136,48,184,71,84,43,19,62,22,331,130,0,130,201,311,117,0,117,194,20,13,13,7,99,35,15,0,50,49,61,16,14,0,30,31,0,0,0,0,0,0,61,16,14,0,30,31,12,5,2,7,5,0,0,0,0,0,12,5,2,7,5,15,8,3,11,4,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-506,ca,"salinas/monterey, san benito counties coc",490506,3364,0.95,44.78298727,4.496449722,rural cocs,3364,420,430,0,850,2514,2719,264,157,0,421,2298,645,156,273,429,216,184,43,86,129,55,902,43,0,43,859,900,41,0,41,859,2,2,2,0,123,9,58,0,67,56,627,17,21,0,38,589,152,0,0,0,0,152,475,17,21,0,38,437,9,6,1,7,2,0,0,0,0,0,9,6,1,7,2,9,5,3,8,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-507,ca,marin county coc,260367,1117,0.53,47.11226484,3.263284712,suburban cocs,1117,226,183,0,409,708,917,182,57,0,239,678,200,44,126,170,30,75,16,51,67,8,359,67,0,67,292,329,42,0,42,287,30,25,25,5,94,11,16,0,27,67,127,11,1,0,12,115,18,0,0,0,0,18,109,11,1,0,12,97,4,3,0,3,1,0,0,0,0,0,4,3,0,3,1,4,3,0,3,1,6,"San Francisco Bay area, unique","high homeless rate, high, worsening housing costs"
ca-508,ca,watsonville/santa cruz city & county coc,272584,2249,1.16,53.87185793,6.667905907,suburban cocs,2249,271,179,0,450,1799,1846,151,65,0,216,1630,403,120,114,234,169,129,41,34,75,54,600,77,0,77,523,525,58,0,58,467,75,19,19,56,236,17,2,0,19,217,586,10,3,0,13,573,163,4,0,0,4,159,423,6,3,0,9,414,13,0,3,3,10,0,0,0,0,0,13,0,3,3,10,17,0,4,4,13,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-509,ca,mendocino county coc,87274,1238,2.13,35.67677565,8.137398687,rural cocs,1238,113,47,0,160,1078,1179,79,33,0,112,1067,59,34,14,48,11,22,13,5,18,4,97,38,0,38,59,94,38,0,38,56,3,0,0,3,24,10,1,0,11,13,42,2,17,0,19,23,0,0,0,0,0,0,42,2,17,0,19,23,5,1,3,4,1,0,0,0,0,0,5,1,3,4,1,5,1,3,4,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-510,ca,turlock/modesto/stanislaus county coc,533755,1661,0.41,31.084874,6.911822273,suburban cocs,1661,683,157,0,840,821,1256,402,106,0,508,748,405,281,51,332,73,118,82,16,98,20,178,60,0,60,118,151,44,0,44,107,27,16,16,11,100,25,17,0,42,58,103,19,17,0,36,67,2,0,1,0,1,1,101,19,16,0,35,66,26,20,1,21,5,10,10,0,10,0,16,10,1,11,5,21,14,2,16,5,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-511,ca,stockton/san joaquin county coc,721166,1542,0.23,30.2169219,7.272696175,other urban cocs,1542,794,181,0,975,567,1016,369,98,0,467,549,526,425,83,508,18,165,128,32,160,5,254,130,0,130,124,243,119,0,119,124,11,11,11,0,109,44,33,0,77,32,67,24,14,0,38,29,5,5,0,0,5,0,62,19,14,0,33,29,9,5,2,7,2,0,0,0,0,0,9,5,2,7,2,14,8,3,11,3,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-512,ca,daly/san mateo county coc,760765,1253,0.22,46.71034814,3.413419036,suburban cocs,1253,211,405,0,616,637,822,127,133,0,260,562,431,84,272,356,75,116,22,75,97,19,234,31,0,31,203,234,31,0,31,203,0,0,0,0,105,34,14,0,48,57,30,5,14,0,19,11,5,1,0,0,1,4,25,4,14,0,18,7,10,2,8,10,0,0,0,0,0,0,10,2,8,10,0,10,1,9,10,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-513,ca,"visalia, kings, tulare counties coc",607029,853,0.19,31.82448971,10.46691804,other urban cocs,853,206,148,0,354,499,732,127,122,0,249,483,121,79,26,105,16,37,25,7,32,5,251,20,0,20,231,248,17,0,17,231,3,3,3,0,45,11,4,0,15,30,56,8,22,0,30,26,0,0,0,0,0,0,56,8,22,0,30,26,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,7,7,0,7,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-514,ca,fresno/madera county coc,1123116,2016,0.24,31.51505282,12.00874392,major cities,2016,333,130,24,487,1529,1742,131,58,24,213,1529,274,202,72,274,0,82,58,24,82,0,692,42,7,49,643,688,38,7,45,643,4,4,4,0,211,55,33,0,88,123,101,8,23,2,33,68,5,3,0,0,3,2,96,5,23,2,30,66,24,11,13,24,0,0,0,0,0,0,24,11,13,24,0,30,14,16,30,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-515,ca,"roseville/rocklin/placer, nevada counties coc",473570,979,0.26,30.48648351,4.565052068,suburban cocs,979,400,121,0,521,458,772,292,45,0,337,435,207,108,76,184,23,64,31,25,56,8,232,67,0,67,165,225,60,0,60,165,7,7,7,0,44,20,0,0,20,24,66,19,6,0,25,41,0,0,0,0,0,0,66,19,6,0,25,41,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,5,3,1,4,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-516,ca,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",311933,934,0.36,34.85884654,7.387059962,rural cocs,934,264,266,0,530,404,721,195,160,0,355,366,213,69,106,175,38,68,18,37,55,13,341,99,0,99,242,317,91,0,91,226,24,8,8,16,103,20,23,0,43,60,68,19,19,0,38,30,0,0,0,0,0,0,68,19,19,0,38,30,8,3,3,6,2,1,0,0,0,1,7,3,3,6,1,13,6,4,10,3,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-517,ca,napa city & county coc,141351,315,0.27,43.93473827,2.743063422,other urban cocs,315,148,51,0,199,116,233,114,3,0,117,116,82,34,48,82,0,24,9,15,24,0,134,81,0,81,53,128,75,0,75,53,6,6,6,0,17,8,0,0,8,9,23,5,2,0,7,16,0,0,0,0,0,0,23,5,2,0,7,16,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-518,ca,vallejo/solano county coc,433439,1232,0.37,33.59853739,5.473796772,other urban cocs,1232,132,183,0,315,917,1070,79,105,0,184,886,162,53,78,131,31,58,17,32,49,9,434,60,0,60,374,425,54,0,54,371,9,6,6,3,156,9,42,0,51,105,210,8,23,0,31,179,18,0,0,0,0,18,192,8,23,0,31,161,14,0,12,12,2,0,0,0,0,0,14,0,12,12,2,17,0,14,14,3,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-519,ca,chico/paradise/butte county coc,225190,1195,0.68,32.11784766,9.344323699,rural cocs,1195,285,165,0,450,745,997,224,85,0,309,688,198,61,80,141,57,66,22,26,48,18,531,111,0,111,420,495,92,0,92,403,36,19,19,17,110,22,8,0,30,80,68,12,14,0,26,42,8,0,0,0,0,8,60,12,14,0,26,34,8,2,5,7,1,0,0,0,0,0,8,2,5,7,1,12,1,10,11,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-520,ca,merced city & county coc,266117,454,0.24,29.29007817,10.66901155,suburban cocs,454,83,73,0,156,298,447,79,73,0,152,295,7,4,0,4,3,2,1,0,1,1,120,1,0,1,119,120,1,0,1,119,0,0,0,0,17,0,0,0,0,17,23,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-521,ca,davis/woodland/yolo county coc,212022,459,0.3,37.77858172,11.63376983,suburban cocs,459,204,46,0,250,209,318,82,32,0,114,204,141,122,14,136,5,39,33,5,38,1,174,27,0,27,147,169,27,0,27,142,5,0,0,5,28,7,3,0,10,18,18,2,7,0,9,9,0,0,0,0,0,0,18,2,7,0,9,9,7,4,3,7,0,1,0,1,1,0,6,4,2,6,0,13,10,3,13,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
